"","X.1","X","vehicle_id","data_title","data_display_title","data_url","data_installment","data_image_src","data_compare_image","data_make","data_model","data_year","data_mileage","data_transmission","data_ad_type","data_variant","data_seller_id","data_profile_id","data_listing_trusted","data_dealer_isverified","data_view_store","data_country_code","data_vehicle_type","listing_price","listing_rating","doors","seat_capacity","engine_cc","fuel_type","fuel_consumption__l_100km"
"19",19,19,4635528,"MERDEKA DAY PROMOTION ( 25 YEARS SALES EXPERIENCE ) ( HQKL)  NISSAN NV200 1.6 PANEL VAN","2019 Nissan NV200 1.6 Panel Van","https://www.carlist.my/new-cars/merdeka-day-promotion-25-years-sales-experience-hqkl-nissan-nv200-1-6-panel-van/4635528",1036,"https://img1.icarcdn.com/8255364/main-m_new-car-carlist-nissan-nv200-panel-van-malaysia_8255364_tC0tldA96VfbgEmB67nl86.jpeg?smia=xTM","https://img1.icarcdn.com/8255364/thumb-l_new-car-carlist-nissan-nv200-panel-van-malaysia_8255364_tC0tldA96VfbgEmB67nl86.jpeg?smia=xTM","Nissan","NV200",2019,0,"Manual","New","Panel","49dde332-cc15-e611-94b7-0261ba99cd9c","50dde332-cc15-e611-94b7-0261ba99cd9c","true","ʉʏʈʘ","true","my","car",79888,NA,"5","2","1598","Petrol - Unleaded (ULP)",NA
"20",20,20,10848279,"KAW KAW CRAZY OFFER PRE REGISTER NEW 2022 Proton X70 1.8 TGDI Premium SUV","2022 Proton X70 1.8 TGDI Premium SUV","https://www.carlist.my/new-cars/kaw-kaw-crazy-offer-pre-register-new-2022-proton-x70-1-8-tgdi-premium-suv/10848279",1501,"https://img1.icarcdn.com/97284801/main-m_new-car-carlist-proton-x70-tgdi-premium-suv-malaysia_000097284801_d08abe5f_ffdb_4776_a947_3b1be96c0dae.JPG.webp?smia=xTM","https://img1.icarcdn.com/97284801/thumb-l_new-car-carlist-proton-x70-tgdi-premium-suv-malaysia_000097284801_d08abe5f_ffdb_4776_a947_3b1be96c0dae.JPG.webp?smia=xTM","Proton","X70",2022,0,"Automatic","New","TGDI Premium","97d320c8-0b27-44ca-95c9-803aec677ec2","068b5776-364c-4f78-8ef3-47b6917de4bd","false","ʉʏʈʘ","false","my","car",115800,4.5,"5","5","1799","Petrol - Unleaded (ULP)",NA
"21",21,21,8973714,"2022 Mercedes-Benz C200 1.5 Avantgarde Sedan","2022 Mercedes-Benz C200 1.5 Avantgarde Sedan","https://www.carlist.my/new-cars/2022-mercedes-benz-c200-1-5-avantgarde-sedan/8973714",3732,"https://img1.icarcdn.com/4173798/main-m_new-car-carlist-mercedes-benz-c-class-c200-avantgarde-sedan-malaysia_000004173798_a68848f7_7854_4443_8859_2362bbbbd238.jpg.webp?smia=xTM","https://img1.icarcdn.com/4173798/thumb-l_new-car-carlist-mercedes-benz-c-class-c200-avantgarde-sedan-malaysia_000004173798_a68848f7_7854_4443_8859_2362bbbbd238.jpg.webp?smia=xTM","Mercedes-Benz","C200",2022,1,"Automatic","New","Avantgarde","f6ecd599-4452-e611-94c3-06e4185eac05","faecd599-4452-e611-94c3-06e4185eac05","false","ʉʏʈʘ","false","my","car",287888,3.9,"4","5","1496","Petrol - Unleaded (ULP)","6.6"
"22",22,22,10287167,"2022 Mercedes-Benz C200 1.5 Avantgarde Sedan","2022 Mercedes-Benz C200 1.5 Avantgarde Sedan","https://www.carlist.my/new-cars/2022-mercedes-benz-c200-1-5-avantgarde-sedan/10287167",3732,"https://img1.icarcdn.com/76178201/main-m_new-car-carlist-mercedes-benz-c-class-c200-avantgarde-sedan-malaysia_000076178201_ddb47862_bb58_4a00_a148_7569dcc4ea5d.jpeg.webp?smia=xTM","https://img1.icarcdn.com/76178201/thumb-l_new-car-carlist-mercedes-benz-c-class-c200-avantgarde-sedan-malaysia_000076178201_ddb47862_bb58_4a00_a148_7569dcc4ea5d.jpeg.webp?smia=xTM","Mercedes-Benz","C200",2022,0,"Automatic","New","Avantgarde","7a0e29d7-c721-400c-9f89-5a1bae1b2d52","693681d8-a265-439a-87d4-eca1e9e8950c","false","ʉʏʈʘ","false","my","car",287888,3.9,"4","5","1496","Petrol - Unleaded (ULP)","6.6"
"23",23,23,8602966,"2022 Perodua Aruz 1.5 X SUV (READY STOK) - CALL SAYA & TEMPAH SEKARANG","2022 Perodua Aruz 1.5 X SUV","https://www.carlist.my/new-cars/2022-perodua-aruz-1-5-x-suv-ready-stok-call-saya-tempah-sekarang/8602966",945,"https://img1.icarcdn.com/6692068/main-m_new-car-carlist-perodua-aruz-x-suv-malaysia_000006692068_1ed9be0d_cdb9_4a17_82cc_d6a1dfd8acaf.jpg.webp?smia=xTM","https://img1.icarcdn.com/6692068/thumb-l_new-car-carlist-perodua-aruz-x-suv-malaysia_000006692068_1ed9be0d_cdb9_4a17_82cc_d6a1dfd8acaf.jpg.webp?smia=xTM","Perodua","Aruz",2022,0,"Automatic","New","X","8a201bca-292e-414a-ac7f-2c536c610eba","11021ba1-35a1-415a-88d8-b0d9f9ebf5f3","false","ʉʏʈʘ","false","my","car",72900,3.9,"5","7","1496","Petrol - Unleaded (ULP)","15.6"
"24",24,24,10664122,"2022 TESLA Model 3 Standard New Car Japan spec","2022 TESLA Model 3 Standard Range Sedan","https://www.carlist.my/new-cars/2022-tesla-model-3-standard-new-car-japan-spec/10664122",3565,"https://img1.icarcdn.com/22146601/main-m_new-car-carlist-tesla-model-3-standard-range-sedan-malaysia_000022146601_937bedfd_2184_4d34_84f9_c0960ebf386f.jpeg.webp?smia=xTM","https://img1.icarcdn.com/22146601/thumb-l_new-car-carlist-tesla-model-3-standard-range-sedan-malaysia_000022146601_937bedfd_2184_4d34_84f9_c0960ebf386f.jpeg.webp?smia=xTM","TESLA","Model 3",2022,0,"Automatic","New","Standard Range","1e0d929e-14a1-e411-94b6-0261ba99cd9c","240d929e-14a1-e411-94b6-0261ba99cd9c","true","ʉʏʈʘ","true","my","car",275000,NA,"4","5",NA,"Electric",NA
"25",25,25,7448294,"PROTON PENANG 3S PLATINUM DEALER - 2022 Proton X50 1.5 (A) READY STOCK","2022 Proton X50 1.5 TGDI Flagship SUV","https://www.carlist.my/new-cars/proton-penang-3s-platinum-dealer-2022-proton-x50-1-5-a-ready-stock/7448294",1110,"https://img1.icarcdn.com/4928447/main-m_new-car-carlist-proton-x50-tgdi-flagship-suv-malaysia_000004928447_83100944_2189_49a7_91e0_64115f121369.jpg?smia=xTM","https://img1.icarcdn.com/4928447/thumb-l_new-car-carlist-proton-x50-tgdi-flagship-suv-malaysia_000004928447_83100944_2189_49a7_91e0_64115f121369.jpg?smia=xTM","Proton","X50",2022,0,"Automatic","New","TGDI Flagship","b6ae332f-dab7-41d1-9a36-0b360bcaf825","2fd5aa4f-2efe-43c3-8cce-f6201b7433b3","true","ʉʏʈʘ","true","my","car",85655,NA,"5","5","1477","Petrol - Unleaded (ULP)",NA
"26",26,26,7439931,"PROTON PENANG 3S PLATINUM DEALER - 2022 Proton X70 1.5 (A) READY STOCK","2022 Proton X70 1.5 TGDI Executive SUV","https://www.carlist.my/new-cars/proton-penang-3s-platinum-dealer-2022-proton-x70-1-5-a-ready-stock/7439931",1272,"https://img1.icarcdn.com/1399347/main-m_new-car-carlist-proton-x70-tgdi-premium-suv-malaysia_000001399347_2a3b2a76_683b_4fc7_9b93_f71d2e4b17ce.jpeg?smia=xTM","https://img1.icarcdn.com/1399347/thumb-l_new-car-carlist-proton-x70-tgdi-premium-suv-malaysia_000001399347_2a3b2a76_683b_4fc7_9b93_f71d2e4b17ce.jpeg?smia=xTM","Proton","X70",2022,0,"Automatic","New","TGDI Executive","b6ae332f-dab7-41d1-9a36-0b360bcaf825","2fd5aa4f-2efe-43c3-8cce-f6201b7433b3","true","ʉʏʈʘ","true","my","car",98123,4.5,"5","5","1477","Petrol - Unleaded (ULP)",NA
"27",27,27,7254678,"HONDA PENANG (BM) - 2022 Honda City 1.5 E i-VTEC (A) EXTRA CASH REBATES + YEAR END BONUS + MORE, CALL NOW FOR MORE INFORMATION","2022 Honda City 1.5 E i-VTEC Sedan","https://www.carlist.my/new-cars/honda-penang-bm-2022-honda-city-1-5-e-i-vtec-a-extra-cash-rebates-year-end-bonus-more-call-now-for-more-information/7254678",1060,"https://img1.icarcdn.com/8764527/main-m_new-car-carlist-honda-city-e-i-vtec-sedan-malaysia_50cae5814e603c49116e828aca1fe99c_Mi7svCEs2TCTmnoRnwHM96_8764527_KsWaWFYWiNto244jhylEw1.jpg?smia=xTM","https://img1.icarcdn.com/8764527/thumb-l_new-car-carlist-honda-city-e-i-vtec-sedan-malaysia_50cae5814e603c49116e828aca1fe99c_Mi7svCEs2TCTmnoRnwHM96_8764527_KsWaWFYWiNto244jhylEw1.jpg?smia=xTM","Honda","City",2022,0,"Automatic","New","E i-VTEC","c99ef1ac-a828-e611-94c3-06e4185eac05","cd9ef1ac-a828-e611-94c3-06e4185eac05","true","ʉʏʈʘ","true","my","car",81760,4.4,"4","5","1498","Petrol - Unleaded (ULP)","5.4"
"28",28,28,10542081,"2022 Hyundai Santa Fe 2.2 R Executive SUV **BIG DISCOUNT RM 17xxx** - Call Me NOW","2022 Hyundai Santa Fe 2.2 R Executive SUV","https://www.carlist.my/new-cars/2022-hyundai-santa-fe-2-2-r-executive-suv-big-discount-rm-17xxx-call-me-now/10542081",2321,"https://img1.icarcdn.com/18024501/main-m_new-car-carlist-hyundai-santa-fe-r-executive-suv-malaysia_000018024501_436889a7_27ef_4a9f_baaa_828c856570b7.jpeg.webp?smia=xTM","https://img1.icarcdn.com/18024501/thumb-l_new-car-carlist-hyundai-santa-fe-r-executive-suv-malaysia_000018024501_436889a7_27ef_4a9f_baaa_828c856570b7.jpeg.webp?smia=xTM","Hyundai","Santa Fe",2022,0,"Automatic","New","R Executive","80dba1d7-e69b-e611-94b9-0261ba99cd9c","83dba1d7-e69b-e611-94b9-0261ba99cd9c","false","ʉʏʈʘ","false","my","car",179000,4.8,"5","7","2199","Diesel",NA
"29",29,29,8371111,"2022 Honda City 1.5 V - SENSING","2021 Honda City 1.5 V i-VTEC Sedan","https://www.carlist.my/new-cars/2022-honda-city-1-5-v-sensing/8371111",1155,"https://img1.icarcdn.com/1111738/main-m_new-car-carlist-honda-city-v-i-vtec-sedan-malaysia_000001111738_02cd9736_7282_44e1_b451_1f7fe1701aa6.jpg.webp?smia=xTM","https://img1.icarcdn.com/1111738/thumb-l_new-car-carlist-honda-city-v-i-vtec-sedan-malaysia_000001111738_02cd9736_7282_44e1_b451_1f7fe1701aa6.jpg.webp?smia=xTM","Honda","City",2021,0,"Automatic","New","V i-VTEC","3b60573c-58f0-4190-94d1-a54df08308d5","5de7feb5-a4b7-4993-82de-8af35446ea39","false","ʉʏʈʘ","false","my","car",89100,4.4,"4","5","1498","Petrol - Unleaded (ULP)","5.4"
"30",30,30,10067912,"2022 Proton Saga Standard F/Loon/ReadyStock/Rebate/freetinted","2022 Proton Saga 1.3 Standard Sedan","https://www.carlist.my/new-cars/2022-proton-saga-standard-f-loon-readystock-rebate-freetinted/10067912",441,"https://img1.icarcdn.com/21976001/main-m_new-car-carlist-proton-saga-standard-sedan-malaysia_000021976001_4e412cef_38a1_421d_a009_e9d288c88111.jpg.webp?smia=xTM","https://img1.icarcdn.com/21976001/thumb-l_new-car-carlist-proton-saga-standard-sedan-malaysia_000021976001_4e412cef_38a1_421d_a009_e9d288c88111.jpg.webp?smia=xTM","Proton","Saga",2022,0,"Automatic","New","Standard","83c98e92-38ba-4392-a07c-84e4e98dc6cd","8299d8d5-e5a3-4298-886b-0dc162c75b6b","false","ʉʏʈʘ","false","my","car",34000,3.9,"4","5","1332","Petrol - Unleaded (ULP)","5.4"
"31",31,31,9318547,"2022 Proton Saga 1.3 maximum loan , new saga launch may 2022 MC2 .","2022 Proton Saga 1.3 Premium S Sedan","https://www.carlist.my/new-cars/2022-proton-saga-1-3-maximum-loan-new-saga-launch-may-2022-mc2/9318547",376,"https://img1.icarcdn.com/7458139/main-m_new-car-carlist-proton-saga-premium-s-sedan-malaysia_000007458139_d976b75f_e276_42df_9f90_47f226a8fa96.jpeg.webp?smia=xTM","https://img1.icarcdn.com/7458139/thumb-l_new-car-carlist-proton-saga-premium-s-sedan-malaysia_000007458139_d976b75f_e276_42df_9f90_47f226a8fa96.jpeg.webp?smia=xTM","Proton","Saga",2022,0,"Automatic","New","Premium S","673fd48b-7a09-40ed-9ad7-2bc6fe7fc77b","fb67edae-1514-4fa9-8546-bcd982957b33","true","ʉʏʈʘ","false","my","car",29000,3.9,"4","5","1332","Petrol - Unleaded (ULP)","5.4"
"32",32,32,10900978,"2022 Proton X50 1.5 Standard SUV BEST GIFT , LOAN MAXIMUM","2022 Proton X50 1.5 Standard SUV","https://www.carlist.my/new-cars/2022-proton-x50-1-5-standard-suv-best-gift-loan-maximum/10900978",1015,"https://img1.icarcdn.com/87900901/main-m_new-car-carlist-proton-x50-standard-suv-malaysia_000087900901_1c8342c5_c731_43d7_8b8a_3616380cf6d4.jpeg.webp?smia=xTM","https://img1.icarcdn.com/87900901/thumb-l_new-car-carlist-proton-x50-standard-suv-malaysia_000087900901_1c8342c5_c731_43d7_8b8a_3616380cf6d4.jpeg.webp?smia=xTM","Proton","X50",2022,0,"Automatic","New","Standard","673fd48b-7a09-40ed-9ad7-2bc6fe7fc77b","fb67edae-1514-4fa9-8546-bcd982957b33","true","ʉʏʈʘ","false","my","car",78290,NA,"5","5","1477","Petrol - Unleaded (ULP)",NA
